toi,tid,tfopwg_disp,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim
1269.01,198241702,CP,4.2529641,0.0000059,-0.0000059,0
1269.02,198241702,PC,9.2378703,0.0000534,-0.0000534,0
127.01,234523599,CP,3.7955178,0.0000023,-0.0000023,0
1270.01,237200747,FP,14.3034613,0.0000026,-0.0000026,0
1271.01,286923464,KP,6.1349783,0.0000165,-0.0000165,0
1272.01,417948359,CP,3.3159772,0.0000074,-0.0000074,0
1273.01,445859771,CP,4.6313014,0.0000088,-0.0000088,0
1274.01,459969957,PC,19.3203478,0.0000126,-0.0000126,0
1275.01,13499636,FA,11.3246821,0.0102622,-0.0102622,0
1276.01,43064903,FA,6.2611690,0.0000164,-0.0000164,0
1277.01,153949511,FA,,,,0
1277.02,153949511,PC,14.8559691,0.0000458,-0.0000458,0
1278.01,163539739,CP,14.4751062,0.0000179,-0.0000179,0
1279.01,224297258,CP,9.6141636,0.0000486,-0.0000486,0
128.01,391949880,CP,4.9404714,0.0000071,-0.0000071,0
1280.01,230017324,PC,9.6926392,0.0000078,-0.0000078,0
1281.01,232971294,PC,6.3908880,0.0000384,-0.0000384,0
1282.01,236445129,KP,0.9689927,0.0000005,-0.0000005,0
1283.01,266593143,KP,10.3385050,0.0000151,-0.0000151,0
1284.01,267561446,FP,1.2832510,0.0003064,-0.0003064,0
1285.01,274662200,FP,1.2284388,0.0002573,-0.0002573,0
1286.01,277507814,APC,0.6166953,0.0000003,-0.0000003,0
1287.01,352764091,PC,9.6001126,0.0000179,-0.0000179,0
1288.01,365733349,CP,2.6998294,0.0000036,-0.0000036,0
1289.01,408203470,FP,0.5813220,0.0000982,-0.0000982,0
129.01,201248411,CP,0.9809720,0.0000005,-0.0000005,0
1290.01,417676622,KP,5.3987355,0.0000166,-0.0000166,0
1291.01,198186769,PC,7.1619900,0.0000316,-0.0000316,0
1292.01,199688472,FP,1.4412175,0.0000046,-0.0000046,0
1293.01,202504234,PC,1.6849938,0.0000027,-0.0000027,0
1294.01,219015370,CP,3.9152737,0.0000040,-0.0000040,0
